year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,`J-D`
1981,8,7.3,11.9,12.9,16.5,18.6,21.9,22.8,20.3,12.8,11.5,4.8,14.10833333
1982,7.1,8.6,11.2,14.3,18,21.3,22.6,21.9,20.7,14.2,11.5,8.2,14.96666667
1983,9.8,5.5,11.11,12.5,15.7,20.9,27.3,24.1,19.8,15.3,11.4,9.3,15.22583333
1984,8.2,7.7,8.8,14.3,14.6,21.04,23.7,24.1,18.4,15.9,12.4,8.8,14.82833333
1985,4.3,6.4,9.4,14,16.4,18.3,22.3,19.8,20.2,15.9,8.2,10,13.76666667
1986,7.3,1.9,10.2,10.9,16.3,21.4,22.3,19.7,17.2,16.6,12.4,9.8,13.83333333
1987,3.6,7.9,8.5,16.1,16.2,18.86,21.8,21.7,19.5,15.2,10.2,9.2,14.06333333
1988,9,8.9,10.8,13.7,17.8,19.3,19.9,21.4,18.9,15.7,10,10.5,14.65833333
1989,9.6,10.5,13.1,11.5,21,22.1,25.7,24.2,20.9,17.2,11,9.3,16.34166667
1990,10.2,11.9,13.6,14.5,20.3,19.6,24.9,26.1,19.7,16.9,10.5,7.6,16.31666667
1991,7.3,5.2,12.5,13.23,15.5,17.4,22.9,23.7,21.5,14.5,10.5,8,14.3525
1992,7.4,9.6,11.7,13.9,20.6,22,22.3,21.55,18.8,12.6,11.8,7.5,14.97916667
1993,10.2,7.1,11.8,14.7,17.8,21.5,21.6,21.6,17.4,13.1,8.8,9.1,14.55833333
1994,9.3,7.6,12.1,13.2,15.9,21.2,25.9,22.6,17.4,15.1,13.3,10.5,15.34166667
1995,8.5,10.5,11.5,15.1,18.4,20.5,26.3,27.1,19.3,18.3,11.7,5.8,16.08333333
1996,7.1,6.6,8.5,14.7,14.9,22.9,24.1,23.3,19.1,16.4,10.3,6.5,14.53333333
1997,5.4,10.6,13.9,15.5,18.6,20.3,23.4,26,21.4,16.2,12.3,9.3,16.075
1998,9.1,11.8,12.5,12.9,19.8,19.7,21.6,23.6,20.3,9.3,9.5,9.6,14.975
1999,9.6,9.2,12.6,15.4,19.3,20,25.5,23.1,21.8,16.3,11.5,8.8,16.09166667
2000,8.9,11,12.8,13.4,18.6,21.2,21,23.4,20.5,15,11.2,9,15.5
2001,7.3,9.9,9.9,13.5,19.4,21.1,24.7,23.4,18.5,17.5,11.7,7.7,15.38333333
2002,9.6,12,12.8,15.9,17.1,20,22.2,23.4,20.5,16.1,12.7,9.3,15.96666667
2003,8.6,9.5,14.1,15.9,18.9,23.7,24.3,27.2,22.5,15.6,13.1,9.3,16.89166667
2004,9.2,9.2,11.2,15.7,18.8,22.3,23.6,24.1,21.1,15.7,11.7,12.5,16.25833333
2005,10.4,8.1,12.1,15.12,17.9,22.6,23.6,23.4,21.8,18.4,11,11,16.285
2006,7.7,7,9.5,14.4,18.6,23.5,28.3,22.4,22.9,18,11,11,16.19166667
2007,7.7,7,9.5,14.4,18.6,23.5,21.4,21.5,19.8,15.7,11.8,9.1,15
2008,10.8,11.2,10.8,13.8,19.9,20.64,22.6,21.5,18.6,14.9,10.9,7.4,15.25333333
2009,7,8.2,12.9,16,18.8,22,22.4,23.6,20.4,16.3,12.6,7,15.6
2010,4.5,6.8,11.1,15.6,16.9,23,24.6,21.1,19.16,15.2,9.2,3.8,14.24666667
2011,7.4,10.2,12.2,19.2,19.1,20.4,21.3,21.9,21.3,18.1,13.6,9.9,16.21666667
2012,9.7,8.1,14.6,13.2,17.7,19.22,21.1,23.1,19.6,14.2,11,8.9,15.035
2013,6.6,6.7,6.7,13,16,19.6,26.5,26.4,19.4,19.9,10.4,10.1,15.10833333
2014,10.1,10.6,14.4,16.2,18,21.8,24.5,21.7,21.3,17.5,12.6,9.2,16.49166667
2015,8.9,8.1,11.7,16.1,17.4,21.9,23.4,22,18.5,15.8,13.4,13.6,15.9
2016,9.5,9.4,10.8,13.6,18.9,20.5,23.3,24.4,22.2,15.9,10.6,10.2,15.775
2017,7.6,10,14,15.5,19.3,23.6,23.5,21.8,19,16.8,11,8.7,15.9
2018,9.7,6.8,9.9,15.5,20.5,23.6,28.1,24,20.5,16.5,12.3,10.7,16.50833333
2019,7.7,12.5,13,15.7,18.2,21.3,25.3,24.4,21,15.3,10.3,10.2,16.24166667
2020,10.1,11,11.9,18,20.8,22.4,23.3,25,21.55,15,12.9,8.6,16.7125
2021,7.7,9.4,12.2,12.8,16.4,22.3,23.7,21.3,21.9,17,11.5,10.1,15.525
2022,9.1,11.5,13.4,15.7,19.5,22.8,27.4,26.9,20.2,18.6,13.3,5.3,16.975
